close,high,low,open,symbol,date,changePercent
2429.89,2436.52,2402.28,2410.33,GOOG,29-04-2021,0.021
2410.12,2427.14,2402.16,2404.49,GOOG,30-04-2021,-0.0081
2395.17,2419.7,2384.5,2402.72,GOOG,03-05-2021,-0.0062
2354.25,2379.26,2311.7,2369.74,GOOG,04-05-2021,-0.0171
2356.74,2382.2,2351.41,2368.42,GOOG,05-05-2021,0.0011
2381.35,2382.71,2342.3382,2350.64,GOOG,06-05-2021,0.0104
2398.69,2416.41,2390,2400,GOOG,07-05-2021,0.0073
2341.66,2378,2334.73,2374.89,GOOG,10-05-2021,-0.0238
2308.76,2322,2283,2291.86,GOOG,11-05-2021,-0.014
2239.08,2285.37,2230.05,2261.71,GOOG,12-05-2021,-0.0302
2261.97,2276.6012,2242.72,2261.09,GOOG,13-05-2021,0.0102
2316.16,2321.14,2283.32,2291.83,GOOG,14-05-2021,0.024
2321.41,2323.34,2295,2309.32,GOOG,17-05-2021,0.0023
2303.43,2343.15,2303.16,2336.9056,GOOG,18-05-2021,-0.0077
2308.71,2316.76,2263.52,2264.4,GOOG,19-05-2021,0.0023
2356.09,2360.34,2321.09,2328.04,GOOG,20-05-2021,0.0205
2345.1,2368.9999,2342.37,2365.99,GOOG,21-05-2021,-0.0047
2406.67,2418.48,2360.11,2367,GOOG,24-05-2021,0.0263
2409.07,2432.89,2402.99,2420,GOOG,25-05-2021,0.001
2433.53,2442.944,2412.515,2412.835,GOOG,26-05-2021,0.0102
1726.13,1762.4899,1707.14,1760,GOOGL,04-01-2021,0
1740.05,1746.83,1716.9,1725.09,GOOGL,05-01-2021,0.0081
1722.88,1743.965,1696.1014,1700.255,GOOGL,06-01-2021,-0.0099
1774.34,1777.82,1726.76,1726.76,GOOGL,07-01-2021,0.0299
1797.83,1799.355,1761.22,1777.16,GOOGL,08-01-2021,0.0132
1756.29,1784.38,1752.14,1777.02,GOOGL,11-01-2021,-0.0231
1737.43,1767.9,1716.375,1745.36,GOOGL,12-01-2021,-0.0107
1747.25,1756.39,1727.32,1727.32,GOOGL,13-01-2021,0.0057
1730.92,1767.5499,1726.07,1748.87,GOOGL,14-01-2021,-0.0093
1727.62,1747.62,1711.71,1729.02,GOOGL,15-01-2021,-0.0019
1784.47,1803.84,1732.83,1743,GOOGL,19-01-2021,0.0329
1880.07,1899.7234,1819.51,1826.37,GOOGL,20-01-2021,0.0536
1884.15,1932.08,1879.41,1893.65,GOOGL,21-01-2021,0.0022
1892.56,1904.39,1876.495,1891.46,GOOGL,22-01-2021,0.0045
1894.28,1921.82,1859.16,1912.74,GOOGL,25-01-2021,0.0009
1907.95,1915.75,1876.13,1885.99,GOOGL,26-01-2021,0.0072
1818.94,1880.47,1797.28,1874.91,GOOGL,27-01-2021,-0.0467
1853.2,1887.99,1831,1831,GOOGL,28-01-2021,0.0188
1827.36,1847.535,1801.5601,1834.02,GOOGL,29-01-2021,-0.0139
1893.07,1915.54,1844.585,1844.585,GOOGL,01-02-2021,0.036
1919.12,1949.37,1906.37,1913.13,GOOGL,02-02-2021,0.0138
2058.88,2106.6234,2013.55,2065.61,GOOGL,03-02-2021,0.0728
2053.63,2069.3,2035.1,2060.6156,GOOGL,04-02-2021,-0.0025
2088.83,2095.94,2050,2059.56,GOOGL,05-02-2021,0.0171
2084.52,2115,2063.35,2100,GOOGL,08-02-2021,-0.0021
2075.39,2098.51,2070,2074.8,GOOGL,09-02-2021,-0.0044
2086.48,2098.88,2052.24,2083.14,GOOGL,10-02-2021,0.0053
2088.75,2094,2068.86,2091,GOOGL,11-02-2021,0.0011
2095.03,2099.5,2073.57,2079.77,GOOGL,12-02-2021,0.003
2110.7,2145.14,2091.75,2091.75,GOOGL,16-02-2021,0.0075
2118.62,2122.4434,2088.35,2093.98,GOOGL,17-02-2021,0.0038
2105.81,2121.99,2093.33,2105,GOOGL,18-02-2021,-0.006
2088.81,2118.58,2083.43,2107.79,GOOGL,19-02-2021,-0.0081
2054.26,2080.33,2048,2053.6,GOOGL,22-02-2021,-0.0165
2060.12,2072.5,1990.23,2013.99,GOOGL,23-02-2021,0.0029
2083.81,2088.32,2027.53,2030.04,GOOGL,24-02-2021,0.0115
2015.95,2083,2006.49,2055.93,GOOGL,25-02-2021,-0.0326
2021.91,2056.52,2001.01,2029.95,GOOGL,26-02-2021,0.003
2069.66,2076.23,2034.42,2048,GOOGL,01-03-2021,0.0236
2064.48,2094.74,2056.67,2064.84,GOOGL,02-03-2021,-0.0025
2011.41,2075.99,1994,2051.95,GOOGL,03-03-2021,-0.0257
2033.93,2074.59,2005.43,2014.869,GOOGL,04-03-2021,0.0112
2097.07,2106.2,2027.7773,2061.15,GOOGL,05-03-2021,0.031
2007.5,2113.74,2005.19,2084.06,GOOGL,08-03-2021,-0.0427
2040.36,2063.9153,2035.6,2049.75,GOOGL,09-03-2021,0.0164
2036.19,2061.4,2019.33,2061.4,GOOGL,10-03-2021,-0.002
2100.54,2111.27,2056.45,2058.22,GOOGL,11-03-2021,0.0316
2050,2077.61,2032.42,2076.41,GOOGL,12-03-2021,-0.0241
2054.44,2054.99,2027.79,2044.975,GOOGL,15-03-2021,0.0022
2083.89,2113.68,2059.29,2065.99,GOOGL,16-03-2021,0.0143
2082.22,2099,2044.1218,2068.47,GOOGL,17-03-2021,-0.0008
2021.34,2068.746,2019.18,2048.18,GOOGL,18-03-2021,-0.0292
2026.96,2037.04,2002.93,2029.73,GOOGL,19-03-2021,0.0028
2030.69,2048.34,2014,2027.63,GOOGL,22-03-2021,0.0018
2041.33,2064.11,2028.0001,2039.95,GOOGL,23-03-2021,0.0052
2032.53,2067.6,2029.0001,2051.76,GOOGL,24-03-2021,-0.0043
2032.46,2045.64,1996.09,2029.05,GOOGL,25-03-2021,0
2024.73,2039.385,2003.85,2031.79,GOOGL,26-03-2021,-0.0038
2045.79,2049.21,2005.45,2022.16,GOOGL,29-03-2021,0.0104
2046.47,2062.67,2036.15,2052.98,GOOGL,30-03-2021,0.0003
2062.52,2086.26,2047,2054.4,GOOGL,31-03-2021,0.0078
2129.78,2135.75,2091.43,2092.25,GOOGL,01-04-2021,0.0326
2218.96,2228.99,2145.205,2147.15,GOOGL,05-04-2021,0.0419
2209.26,2228,2201.79,2210.92,GOOGL,06-04-2021,-0.0044
2239.03,2244.5,2213.1,2213.1,GOOGL,07-04-2021,0.0135
2250.43,2271.7899,2243.01,2264,GOOGL,08-04-2021,0.0051
